2|lacnic|20210920|43159|19870101|20210920|-0300
lacnic|*|ipv4|*|18574|summary
lacnic|*|ipv6|*|11757|summary
lacnic|*|asn|*|12828|summary
lacnic|BR|ipv4|24.152.0.0|1024|20200310|allocated
lacnic|BR|ipv4|24.152.4.0|1024|20200312|allocated
lacnic|BR|ipv4|24.152.8.0|1024|20200309|allocated
lacnic|BR|ipv4|24.152.12.0|1024|20200309|allocated
lacnic|BR|ipv4|24.152.16.0|1024|20200312|allocated
lacnic|BR|ipv4|24.152.20.0|1024|20200309|allocated
lacnic|BR|ipv4|24.152.24.0|1024|20200313|allocated
lacnic|BR|ipv4|24.152.28.0|1024|20200325|allocated
lacnic|BR|ipv4|24.152.32.0|1024|20200310|allocated
lacnic|BR|ipv4|24.152.36.0|1024|20200325|allocated
lacnic|PY|ipv4|24.152.40.0|1024|20200320|allocated
lacnic|BR|ipv4|24.152.44.0|1024|20200313|allocated
lacnic|DO|ipv4|24.152.48.0|1024|20200309|allocated
lacnic|GT|ipv4|24.152.52.0|1024|20200309|allocated
lacnic|CO|ipv4|24.152.56.0|256|20200430|allocated
lacnic|AR|ipv4|24.152.57.0|256|20200313|allocated
lacnic|CO|ipv4|24.152.58.0|512|20200520|allocated
lacnic|BR|ipv4|24.152.60.0|1024|20200316|allocated
lacnic|BR|ipv4|24.152.64.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.68.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.72.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.76.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.80.0|1024|20200317|allocated
lacnic|BR|ipv4|24.152.84.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.88.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.92.0|1024|20200313|allocated
lacnic|BR|ipv4|24.152.96.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.100.0|1024|20200311|allocated
lacnic|BR|ipv4|24.152.104.0|1024|20200317|allocated
lacnic|BR|ipv4|24.152.108.0|1024|20200312|allocated
lacnic|BR|ipv4|24.152.112.0|1024|20200313|allocated
lacnic|BR|ipv4|24.152.116.0|1024|20200312|allocated
lacnic|BR|ipv4|24.152.120.0|1024|20200312|allocated
lacnic|BR|ipv4|24.152.124.0|1024|20200318|allocated
lacnic|AR|ipv4|24.232.0.0|65536|19970602|allocated
lacnic|CL|ipv4|45.4.0.0|1024|20170224|allocated
lacnic|BR|ipv4|45.4.4.0|1024|20170221|allocated
lacnic|BR|ipv4|45.4.8.0|1024|20170224|allocated
lacnic|BR|ipv4|45.4.12.0|1024|20170217|allocated
lacnic|BR|ipv4|45.4.16.0|1024|20170224|allocated
lacnic|BR|ipv4|45.4.20.0|1024|20170223|allocated
lacnic|BR|ipv4|45.4.24.0|1024|20170221|allocated
lacnic|BR|ipv4|45.4.28.0|1024|20170217|allocated
lacnic|BR|ipv4|45.4.32.0|1024|20170221|allocated
lacnic|BR|ipv4|45.4.36.0|1024|20170221|allocated
lacnic|BR|ipv4|45.4.40.0|1024|20170224|allocated
lacnic|BR|ipv4|45.4.44.0|1024|20170224|allocated
lacnic|BR|ipv4|45.4.48.0|1024|20170217|allocated
lacnic|BR|ipv4|45.4.52.0|1024|20170220|allocated
lacnic|BR|ipv4|45.4.56.0|1024|20170217|allocated
lacnic|BR|ipv4|45.4.60.0|1024|20170217|allocated
lacnic|BR|ipv4|45.4.64.0|1024|20170224|allocated
lacnic|BR|ipv4|45.4.68.0|1024|20170303|assigned
lacnic|BR|ipv4|45.4.72.0|1024|20170222|allocated
lacnic|BR|ipv4|45.4.76.0|1024|20170220|allocated
lacnic|BR|ipv4|45.4.80.0|1024|20170313|allocated
lacnic|HN|ipv4|45.4.84.0|1024|20170307|allocated
lacnic|EC|ipv4|45.4.88.0|1024|20170307|allocated
lacnic|AR|ipv4|45.4.92.0|1024|20170315|allocated
lacnic|BR|ipv4|45.4.96.0|256|20170303|assigned
lacnic|AR|ipv4|45.4.97.0|256|20170220|assigned
lacnic|BO|ipv4|45.4.98.0|512|20170328|assigned
lacnic|AR|ipv4|45.4.100.0|1024|20170310|allocated
lacnic|BR|ipv4|45.4.104.0|1024|20170302|allocated
lacnic|BR|ipv4|45.4.108.0|1024|20170222|allocated
lacnic|BR|ipv4|45.4.112.0|1024|20170303|allocated
lacnic|BR|ipv4|45.4.116.0|1024|20170222|allocated
